Product|Category|Price|SKU|Quantity|Status|Action
BKLGO Full Zip Hoodie|Clothing|"$1,321"|243598234|0|Out of Stock|
MacBook Pro|Electronics|"$1,869"|877712|0|Out of Stock|
Metro Bar Stool|Furniture|$99|0134729|978|in Stock|
Alchimia Chair|Furniture|"$2,999"|113213|0|Out of Stock|
Fendi Gradient Coat|Clothing|$869|634729|725|in Stock|
Off White Cotton Bomber|Clothing|"$1,869"|634729|725|in Stock|
Y-3 Yohji Yamamoto|Shoes|$869|634729|725|In Stock|
Alexander McQueen|Clothing|"$1,199"|00121399|51293|in Stock|
Luin Floor Lamp|Furniture|"$1,900"|434729|1100191321|In Stock|
Heron Preston T-shirt|Clothing|$149|928341|0|Out of Stock|
Gray Living Chair|Furniture|"$2,099"|9912834|32|in Stock|
Derbyshire Orange Sofa|Furniture|"$2,999"|561151|22|in Stock|
Burberry Low-Tops|Shoes|$869|634729|725|in Stock|
Dolce & Gabbana Skirt|Designer|$999|01827391|0|Out of Stock|
Undercover T-shirt|Shoes|$869|634729|725|in Stock|